,both_word,rel_freq,rel_doc_freq,irr_freq,irr_doc_freq
758,generates,3,3,44,27
759,largely,3,3,42,28
760,transitioned,3,3,40,26
761,completely,3,3,40,18
762,refrigerants,3,3,40,17
763,modernization,3,3,39,17
764,allocated,3,3,38,19
765,lowering,3,3,37,27
766,commercially,3,3,36,22
767,expects,3,3,36,21
768,interim,3,3,35,20
769,oklahoma,3,3,32,6
770,attributed,3,3,28,19
771,photovoltaic,3,3,19,12
772,secured,3,3,17,11
773,equates,3,3,15,11
774,pumps,3,3,13,10
775,divestment,3,3,13,6
776,beijing,3,3,9,6
777,people,3,2,4199,64
778,giving,3,2,681,57
779,scenario,3,2,441,55
780,communications,3,2,372,54
781,taking,3,2,368,65
782,controls,3,2,315,54
783,downstream,3,2,260,44
784,parties,3,2,255,54
785,covered,3,2,252,55
786,starting,3,2,249,53
787,usd,3,2,207,26
788,cubic,3,2,206,30
789,june,3,2,187,45
790,majority,3,2,186,49
791,mining,3,2,183,47
792,pounds,3,2,169,45
793,october,3,2,145,46
794,shipping,3,2,143,36
795,excluding,3,2,142,33
796,volumes,3,2,140,33
797,carolina,3,2,125,23
798,transitioning,3,2,121,35
799,trucks,3,2,115,33
800,seeks,3,2,104,43
801,nox,3,2,101,27
802,release,3,2,95,56
803,regulated,3,2,94,24
804,mass,3,2,91,54
805,sweden,3,2,87,17
806,nigeria,3,2,81,13
807,declined,3,2,79,18
808,sox,3,2,78,23
809,optimization,3,2,75,35
810,hectares,3,2,67,17
811,engines,3,2,66,21
812,securing,3,2,60,27
813,accounted,3,2,60,26
814,feet,3,2,60,24
815,hvac,3,2,55,24
816,voc,3,2,52,62
817,underground,3,2,47,14
818,thermal,3,2,46,30
819,avoiding,3,2,41,24
820,burn,3,2,32,33
821,coast,3,2,29,26
822,modifications,3,2,29,17
823,twh,3,2,29,6
824,renewal,3,2,20,12
825,leak,3,2,17,24
826,geothermal,3,2,17,14
827,pipe,3,2,14,47
828,society,3,1,628,59
829,ecolab,3,1,569,5
830,tesla,3,1,461,2
831,starbucks,3,1,450,2
832,nucor,3,1,325,2
833,dominion,3,1,173,1
834,roadmap,3,1,160,40
835,americas,3,1,147,22
836,temporary,3,1,131,42
837,consolidated,3,1,126,42
838,achievement,3,1,109,50
839,kingdom,3,1,99,29
840,county,3,1,64,27
841,concrete,3,1,61,22
842,fulfillment,3,1,52,13
843,datacenter,3,1,43,2
844,went,3,1,39,35
845,locomotives,3,1,30,4
846,linkedin,3,1,27,17
847,timber,3,1,26,15
848,efﬁ,3,1,19,2
849,studying,3,1,16,11
850,arlington,3,1,12,3
851,libs,3,1,10,1
852,modernized,3,1,9,5
853,asm,3,1,8,16
854,afforestation,3,1,6,7
855,aerodynamic,3,1,5,4
856,winglets,3,1,1,1
857,gy,2,58,7,66
858,la,2,56,48,66
859,go,2,38,228,66
860,rate,2,36,814,66
861,ciency,2,29,14,63
862,late,2,23,82,66
863,sign,2,23,45,66
864,install,2,22,46,54
865,approximate,2,20,25,61
866,acc,2,19,24,66
867,fort,2,17,29,66
868,cure,2,15,22,62
869,light,2,14,105,64
870,solution,2,13,250,64
871,manage,2,11,651,66
872,far,2,11,96,56
873,foot,2,11,21,62
874,iron,2,11,16,66
875,cient,2,11,4,66
876,star,2,10,104,64
877,see,2,9,1777,66
878,panel,2,9,127,55
879,credit,2,9,93,52
880,free,2,8,387,62
881,native,2,8,244,65
882,eight,2,8,154,56
883,lead,2,7,483,65
884,nature,2,7,463,61
885,start,2,7,150,63
886,plane,2,7,2,50
887,action,2,6,1402,65
888,advance,2,6,657,65
889,cell,2,6,106,58
890,cool,2,6,31,53
891,retire,2,6,31,47
892,roof,2,6,27,34
893,region,2,5,480,62
894,via,2,5,317,61
895,structure,2,5,281,65
896,west,2,5,103,55
897,tree,2,5,65,48
898,risk,2,4,3031,65
899,day,2,4,567,65
900,contribute,2,4,361,61
901,seek,2,4,352,60
902,active,2,4,331,65
903,eliminate,2,4,263,57
904,phase,2,4,257,50
905,shift,2,4,157,59
906,match,2,4,114,55
907,utilize,2,4,107,57
908,replacement,2,4,77,34
909,ending,2,4,42,61
910,grams,2,4,24,64
911,lights,2,4,23,59
912,turbine,2,4,23,23
913,signs,2,4,19,42
914,sequester,2,4,12,16
915,every,2,3,1019,63
916,food,2,3,968,55
917,national,2,3,778,65
918,core,2,3,776,63
919,strong,2,3,562,63
920,pacific,2,3,318,45
921,case,2,3,311,61
922,actual,2,3,293,60
923,nations,2,3,290,60
924,similar,2,3,239,60
925,eligible,2,3,233,47
926,joint,2,3,213,51
927,balance,2,3,195,54
928,component,2,3,163,56
929,connected,2,3,162,50
930,indonesia,2,3,143,28
931,sbti,2,3,140,29
932,connection,2,3,116,54
933,relative,2,3,116,43
934,founded,2,3,69,31
935,yield,2,3,62,34
936,supplied,2,3,55,29
937,evolution,2,3,50,43
938,upgrade,2,3,42,37
939,fixed,2,3,22,21
940,franchise,2,3,21,23
941,generator,2,3,20,26
942,pall,2,3,13,29
943,abate,2,3,3,12
944,health,2,2,5723,64
945,communities,2,2,3518,64
946,practices,2,2,2000,63
947,policy,2,2,1766,66
948,diverse,2,2,1449,62
949,companies,2,2,1429,65
950,create,2,2,1313,64
951,better,2,2,1204,65
952,internal,2,2,1166,64
953,response,2,2,1123,59
954,identify,2,2,1060,65
955,strategic,2,2,855,64
956,positive,2,2,788,64
957,understand,2,2,742,64
958,priority,2,2,700,60
959,among,2,2,643,62
960,strategies,2,2,561,62
961,certain,2,2,521,62
962,tower,2,2,508,29
963,defined,2,2,501,58
964,methodology,2,2,492,53
965,possible,2,2,486,61
966,highest,2,2,461,57
967,greater,2,2,436,63
968,continuous,2,2,405,62
969,protecting,2,2,391,55
970,regions,2,2,390,58
971,individual,2,2,386,61
972,additionally,2,2,365,57
973,options,2,2,364,56
974,meaningful,2,2,340,58
975,continues,2,2,335,58
976,millions,2,2,335,49
977,meeting,2,2,325,61
978,enabling,2,2,325,52
979,variety,2,2,298,58
980,mitigation,2,2,297,57
981,proud,2,2,293,52
982,delivering,2,2,287,58
983,landfill,2,2,284,51
984,cases,2,2,271,51
985,maintaining,2,2,265,57
986,applications,2,2,261,45
987,copper,2,2,255,11
988,approved,2,2,252,55
989,providers,2,2,251,48
990,boundary,2,2,250,30
991,behavior,2,2,249,55
992,brazil,2,2,248,41
993,however,2,2,237,51
994,california,2,2,236,41
995,complex,2,2,233,58
996,leverage,2,2,232,60
997,methods,2,2,231,52
998,focusing,2,2,231,52
999,private,2,2,229,51
1000,thousands,2,2,220,49
1001,software,2,2,217,44
1002,towards,2,2,216,45
1003,contributing,2,2,209,58
1004,surface,2,2,209,37
1005,targeted,2,2,208,53
1006,productivity,2,2,208,41
1007,gold,2,2,202,43
1008,described,2,2,198,49
1009,remote,2,2,194,49
1010,bringing,2,2,193,54
1011,beginning,2,2,193,53
1012,accelerating,2,2,186,42
1013,maintenance,2,2,181,48
1014,effects,2,2,180,51
1015,incorporate,2,2,175,59
1016,points,2,2,172,50
1017,intended,2,2,170,50
1018,recommendations,2,2,170,47
1019,stock,2,2,165,57
1020,record,2,2,160,53
1021,gases,2,2,158,29
1022,machine,2,2,157,44
1023,texas,2,2,156,37
1024,contributed,2,2,153,48
1025,accurate,2,2,143,45
1026,started,2,2,141,46
1027,scientists,2,2,136,34
